Metacritic_score,Normalized_playtime,Positive_review_threshold
0.89,0.262,1
0.86,0.351,1
0.8,0.146,0
0.55,0.487,0
0.7,0.629,1
0.81,0.541,1
0.73,0.521,1
0.77,0.488,1
0.67,0.238,0
0.8,0.692,1
0.74,0.513,1
0.84,0.603,1
0.79,0.608,1
0.75,0.548,1
0.77,0.451,1
0.83,0.515,1
0.7,0.784,0
0.73,0.45,1
0.67,0.26,1
0.74,0.344,0
0.77,0.351,0
0.83,0.641,1
0.78,0.471,1
0.77,0.395,1
0.66,0.575,1
0.8,0.428,1
0.68,0.427,0
0.86,0.533,1
0.8,0.356,1
0.68,0.415,1
0.82,0.26,1
0.81,0.336,1
0.81,0.546,1
0.66,0.518,1
0.78,0.594,1
0.71,0.352,1
0.76,0.46,1
0.68,0.45,1
0.79,0.537,1
0.75,0.125,1
0.47,0.421,0
0.49,0.489,0
0.88,0.288,1
0.65,0.453,1
0.58,0.459,0
0.49,0.416,0
0.7,0.293,1
0.63,0.231,1
0.8,0.661,0
0.65,0.345,1
0.55,0.422,0
0.89,0.362,1
0.56,0.319,0
0.81,0.388,1
0.72,0.4,1
0.79,0.484,1
0.79,0.659,1
0.53,0.073,0
0.79,0.517,1
0.75,0.48,0
0.59,0.424,1
0.77,0.495,1
0.78,0.406,1
0.56,0.46,0
0.86,0.751,1
0.73,0.411,1
0.8,0.556,1
0.81,0.438,1
0.81,0.013,1
0.77,0.477,1
0.71,0.432,1
0.74,0.598,1
0.65,0.357,1
0.75,0.272,0
0.68,0.566,1
0.75,0.088,1
0.64,0.471,1
0.78,0.583,1
0.62,0.561,0
0.73,0.458,1
0.71,0.394,0
0.75,0.438,0
0.82,0.583,1
0.73,0.196,1
0.69,0.615,1
0.76,0.376,1
0.65,0.491,0
0.78,0.449,1
0.8,0.266,1
0.79,0.394,1
0.73,0.678,1
0.77,0.487,0
0.78,0.467,1
0.8,0.414,1
0.65,0.167,1
0.81,0.418,1
0.86,0.386,1
0.77,0.62,1
0.77,0.513,0
0.83,0.486,0
0.74,0.502,1
0.61,0.458,1
0.76,0.163,1
0.75,0.549,1
0.69,0.338,1
0.85,0.552,1
0.63,0.368,1
0.8,0.318,1
0.84,0.513,1
0.72,0.477,1
0.77,0.451,1
0.75,0.357,1
0.77,0.525,1
0.81,0.499,1
0.91,0.752,1
0.83,0.073,1
0.65,0.108,0
0.73,0.425,1
0.75,0.589,1
0.91,0.666,1
0.74,0.296,1
0.7,0.088,1
0.86,0.435,1
0.74,0.423,0
0.83,0.448,1
0.63,0.374,0
0.81,0.491,1
0.68,0.322,1
0.76,0.366,1
0.78,0.587,1
0.8,0.412,1
0.76,0.451,1
0.78,0.196,1
0.69,0.443,1
0.61,0.646,1
