Metacritic_score,Normalized_playtime,Positive_review_threshold
0.72,0.36,1
0.72,0.41,1
0.78,0.343,1
0.66,0.306,1
0.66,0.841,0
0.82,0.108,1
0.69,0.383,1
0.6,0.408,1
0.74,0.611,1
0.79,0.526,0
0.38,0.531,1
0.78,0.277,1
0.82,0.416,1
0.81,0.179,1
0.72,0.266,0
0.59,0.324,0
0.57,0.311,0
0.8,0.487,1
0.69,0.283,0
0.85,0.589,1
0.84,0.422,1
0.88,0.792,1
0.82,0.491,1
0.75,0.428,1
0.81,0.296,0
0.77,0.5,1
0.74,0.65,1
0.82,0.46,1
0.67,0.288,1
0.82,0.412,1
0.78,0.524,0
0.76,0.409,1
0.69,0.598,0
0.65,0.479,0
0.7,0.601,0
0.65,0.443,0
0.73,0.366,0
0.83,0.73,1
0.63,0.444,1
0.71,0.252,0
0.81,0.537,1
0.81,0.199,1
0.73,0.536,0
0.7,0.441,1
0.48,0.457,0
0.76,0.254,1
0.85,0.367,1
0.67,0.12,1
0.69,0.436,1
0.8,0.555,1
0.84,0.997,1
0.78,0.25,1
0.72,0.58,1
0.84,0.609,1
0.76,0.348,1
0.84,0.437,1
0.79,0.518,1
0.79,0.511,1
0.7,0.141,0
0.64,0.547,0
0.79,0.186,1
0.75,0.434,1
0.66,0.343,1
0.68,0.459,1
0.69,0.395,1
0.81,0.556,1
0.69,0.574,0
0.89,0.215,1
0.72,0.284,1
0.8,0.432,1
0.82,0.416,1
0.75,0.543,1
0.8,0.378,1
0.76,0.534,1
0.67,0.51,0
0.37,0.306,0
0.83,0.607,1
0.76,0.559,0
0.6,0.396,0
0.86,0.469,1
0.64,0.382,1
0.74,0.573,1
0.66,0.545,1
0.73,0.088,1
0.74,0.412,1
0.92,0.503,1
0.86,0.368,1
0.85,0.632,1
0.78,0.309,1
0.74,0.635,1
0.83,0.327,1
0.68,0.41,0
0.84,0.382,1
0.62,0.459,0
0.77,0.456,1
0.7,0.528,1
0.83,0.725,1
0.65,0.401,1
0.85,0.406,1
0.74,0.54,1
0.72,0.407,1
0.82,0.438,1
0.81,0.141,1
0.6,0.508,0
0.77,0.687,1
0.83,0.499,1
0.58,0.34,0
0.78,0.878,1
0.77,0.508,1
0.5,0.374,1
0.76,0.531,1
0.68,0.688,1
0.83,0.308,1
0.76,0.327,1
0.76,0.377,0
0.8,0.377,0
0.74,0.203,0
0.66,0.597,1
0.72,0.531,0
0.63,0.309,1
0.76,0.268,1
0.92,0.494,1
0.75,0.386,1
0.77,0.399,1
0.47,0.65,0
0.83,0.588,1
0.73,0.488,1
0.71,0.276,0
0.87,0.656,1
0.83,0.56,1
0.29,0.506,0
0.74,0.279,1
0.61,0.419,1
0.63,0.481,0
0.64,0.449,0
0.78,0.59,1
0.68,0.759,0
0.73,0.073,0
0.55,0.579,0
0.24,0.664,0
0.5,0.429,0
0.86,0.981,1
0.63,0.788,0
0.78,0.15,1
0.72,0.455,1
0.89,0.467,0
0.65,0.742,1
0.8,0.22,1
0.79,0.502,1
0.7,0.364,1
0.75,0.34,1
0.68,0.466,1
0.71,0.375,1
0.69,0.407,1
0.77,0.389,1
0.78,0.506,1
0.83,0.279,1
0.78,0.279,1
0.75,0.408,1
0.54,0.467,0
0.92,0.141,1
0.77,0.366,1
0.81,0.335,1
0.7,0.613,1
0.85,0.575,1
0.63,0.266,0
0.64,0.433,1
0.72,0.468,0
0.69,0.509,1
0.82,0.013,0
0.74,0.406,1
0.74,0.425,1
0.69,0.672,0
0.61,0.311,1
0.53,0.342,1
0.72,0.183,1
0.8,0.252,1
0.62,0.4,0
0.83,0.483,1
0.61,0.435,1
0.74,0.375,1
0.66,0.489,0
0.78,0.622,1
0.77,0.396,1
0.74,0.359,1
0.75,0.434,1
0.61,0.46,0
0.54,0.537,1
0.69,0.666,1
0.63,0.159,0
0.73,0.865,0
0.9,0.419,1
0.72,0.305,0
0.77,0.309,0
0.76,0.624,0
0.8,0.534,1
0.67,0.374,1
0.75,0.433,1
0.78,0.469,1
0.55,0.403,0
0.69,0.53,0
0.75,0.392,1
0.53,0.671,0
0.83,0.51,1
0.81,0.91,0
0.89,0.605,1
0.79,0.136,1
0.61,0.394,0
0.66,0.27,1
0.78,0.5,1
0.65,0.622,0
0.84,0.609,1
0.82,0.474,1
0.96,0.327,1
0.73,0.583,1
0.85,0.507,1
0.63,0.516,0
0.87,0.405,1
0.72,0.362,1
0.82,0.522,1
0.59,0.394,1
0.59,0.262,0
0.82,0.623,1
0.68,0.465,1
0.77,0.296,1
0.89,0.616,1
0.85,0.537,1
0.63,0.036,0
0.79,0.451,1
0.72,0.541,1
0.94,0.834,1
0.68,0.556,1
0.56,0.179,0
0.83,0.435,0
0.82,0.352,0
0.8,0.262,1
0.44,0.429,0
0.87,0.503,1
0.7,0.368,1
0.83,0.451,1
0.76,0.723,1
0.79,0.394,1
0.6,0.266,1
0.59,0.535,1
0.81,0.483,1
0.93,0.591,1
0.54,0.421,0
0.62,0.392,1
0.93,0.358,1
0.65,0.486,1
0.58,0.436,0
0.66,0.245,1
0.63,0.3,0
0.74,0.342,0
0.83,0.47,1
0.73,0.388,0
0.75,0.373,1
0.8,0.383,1
0.75,0.289,1
0.81,0.481,1
0.7,0.603,1
0.65,0.386,1
0.9,0.72,1
0.66,0.504,1
0.73,0.405,0
0.88,0.611,1
0.81,0.52,1
0.79,0.587,1
0.49,0.49,0
0.67,0.41,0
0.81,0.415,1
0.68,0.676,0
0.7,0.53,0
0.7,0.514,1
0.78,0.319,1
0.72,0.577,0
0.59,0.421,0
0.67,0.402,1
0.81,0.358,1
0.79,0.523,1
0.77,0.452,1
0.71,0.497,1
0.85,0.575,1
0.74,0.511,1
0.61,0.525,1
0.86,0.368,1
0.78,0.432,1
0.61,0.345,1
0.43,0.676,0
0.72,0.431,1
0.74,0.457,1
0.58,0.451,0
0.72,0.412,0
0.79,0.464,1
0.57,0.329,0
0.58,0.3,1
0.8,0.371,1
0.76,0.419,1
0.83,0.816,1
0.68,0.377,1
0.9,0.193,1
0.89,0.73,1
0.72,0.41,1
0.7,0.467,0
0.8,0.59,1
0.81,0.514,1
0.78,0.073,1
0.56,0.66,0
0.91,0.477,0
0.68,0.64,0
0.76,0.507,1
0.78,0.577,0
0.77,0.452,1
0.74,0.649,1
0.75,0.596,1
0.51,0.442,1
0.84,0.328,1
0.73,0.442,1
0.7,0.392,0
0.84,0.635,1
0.75,0.63,1
0.7,0.247,1
0.68,0.421,1
0.72,0.731,1
0.77,0.342,1
0.78,0.525,1
0.63,0.563,1
0.79,0.462,1
0.72,0.308,0
0.81,0.543,1
0.8,0.533,1
0.84,0.735,1
0.86,0.452,1
0.72,0.425,0
0.8,0.141,0
0.75,0.692,1
0.93,0.506,1
0.73,0.525,1
0.78,0.772,1
0.84,0.529,1
0.51,0.635,1
0.55,0.434,0
0.68,0.341,0
0.67,0.299,0
0.69,0.782,1
0.66,0.421,1
0.88,0.252,1
0.58,0.355,1
0.8,0.764,0
0.69,0.378,0
0.8,0.672,1
0.59,0.551,1
0.7,0.338,0
0.68,0.382,1
0.4,0.333,0
0.57,0.25,1
0.71,0.505,1
0.81,0.399,1
0.7,0.396,1
0.53,0.516,1
0.82,0.437,0
0.87,0.797,1
0.69,0.461,0
0.67,0.383,0
0.81,0.359,1
0.75,0.539,1
0.81,0.44,1
0.47,0.403,0
0.68,0.279,1
0.78,0.511,1
0.53,0.013,0
0.72,0.355,1
0.73,0.408,0
0.56,0.388,1
0.87,0.631,1
0.84,0.597,1
0.61,0.423,0
0.69,0.476,1
0.6,0.336,0
0.62,0.433,1
0.68,0.506,1
0.57,0.555,0
0.43,0.343,0
0.69,0.6,1
0.57,0.4,1
0.87,0.516,1
0.77,0.722,1
0.72,0.327,1
0.85,0.611,1
0.85,0.671,1
0.69,0.432,0
0.71,0.155,1
0.78,0.549,0
0.64,0.425,1
0.73,0.245,1
0.77,0.659,1
0.81,0.565,1
0.69,0.602,1
0.69,0.27,1
0.65,0.646,0
0.76,0.695,1
0.77,0.555,0
0.73,0.49,1
0.75,0.243,0
0.74,0.373,1
0.8,0.463,1
0.86,0.228,1
0.86,0.344,1
0.83,0.354,1
0.49,0.541,0
0.6,0.707,0
0.73,0.765,1
0.83,0.533,1
0.77,0.384,1
0.81,0.422,1
0.94,0.605,1
0.77,0.485,1
0.71,0.443,1
0.71,0.27,1
0.48,0.159,0
0.9,0.274,1
0.56,0.551,0
0.56,0.663,1
0.84,0.605,1
0.74,0.555,1
0.77,0.341,1
0.96,0.47,1
0.8,0.384,1
0.84,0.556,1
0.61,0.414,0
0.74,0.484,0
0.79,0.568,0
0.59,0.387,1
0.66,0.335,0
0.72,0.405,1
0.84,0.584,1
0.73,0.501,0
0.64,0.459,0
0.67,0.08,0
0.71,0.352,1
0.75,0.531,1
0.83,0.379,1
0.71,0.371,1
0.82,0.431,1
0.7,0.453,1
0.78,0.422,1
0.9,0.422,1
0.94,0.294,1
0.72,0.114,1
0.57,0.025,0
0.78,0.404,0
0.77,0.457,1
0.76,0.036,0
0.67,0.469,1
0.72,0.41,1
0.86,0.673,0
0.61,0.167,0
0.81,0.125,1
0.8,0.57,0
0.74,0.443,1
0.79,0.466,1
0.79,0.504,1
0.7,0.428,0
0.76,0.418,1
0.87,0.186,1
0.81,0.559,1
0.89,0.592,1
0.7,0.416,0
0.61,0.639,0
0.7,0.424,1
0.86,0.565,1
0.79,0.357,1
0.85,0.682,1
0.63,0.387,1
0.66,0.517,0
0.75,0.559,1
0.87,0.558,1
0.84,0.57,1
0.66,0.479,1
0.7,0.62,0
0.58,0.236,0
0.69,0.46,0
0.78,0.456,1
0.75,0.463,1
0.74,0.456,1
0.7,0.407,1
0.79,0.439,1
0.73,0.406,0
0.69,0.313,0
0.89,0.638,1
0.82,0.345,1
0.78,0.43,1
0.89,0.502,1
0.76,0.429,1
0.91,0.628,1
0.73,0.361,1
0.8,0.398,1
0.76,0.196,0
0.74,0.415,1
0.77,0.645,1
0.78,0.353,1
0.76,0.474,0
0.85,0.704,1
0.73,0.421,1
0.82,0.055,1
0.77,0.436,0
0.81,0.396,1
0.82,0.438,1
0.77,0.438,1
0.91,0.108,1
0.75,0.418,1
0.85,0.648,1
0.8,0.247,1
0.76,0.296,1
0.4,0.502,1
0.82,0.621,1
0.64,0.228,0
0.75,0.258,1
0.34,0.363,0
0.59,0.175,0
0.87,0.417,1
0.8,0.68,1
0.81,0.408,1
0.84,0.484,1
0.78,0.725,1
0.8,0.5,1
0.78,0.407,1
0.78,0.3,1
0.79,0.384,1
0.67,0.046,0
0.82,0.484,1
0.75,0.605,1
0.41,0.281,0
0.63,0.355,1
0.81,0.535,1
0.85,0.47,1
0.59,0.136,0
0.68,0.474,1
0.8,0.46,1
0.79,0.42,1
0.74,0.446,1
0.67,0.606,1
0.73,0.527,0
0.72,0.288,0
0.58,0.396,1
0.69,0.41,0
0.68,0.457,0
0.83,0.196,1
0.76,0.305,1
0.71,0.658,0
0.63,0.0,1
0.79,0.428,1
0.86,0.666,1
0.59,0.311,0
0.78,0.272,1
0.66,0.438,1
0.73,0.5,1
0.87,0.418,1
0.58,0.656,1
0.65,0.481,0
0.66,0.59,1
0.79,0.437,1
0.59,0.4,0
0.87,0.764,1
0.81,0.78,1
0.79,0.525,1
0.78,0.52,1
0.83,0.793,1
0.79,0.578,1
0.7,0.443,0
0.64,0.505,0
0.73,0.408,1
0.78,0.328,1
0.88,0.428,1
0.76,0.328,0
0.76,0.476,1
0.86,0.443,1
0.81,0.381,1
0.74,0.592,1
0.83,0.424,1
0.76,0.426,1
0.89,0.543,1
0.76,0.233,1
0.77,0.423,0
0.85,0.24,1
0.69,0.362,1
0.72,0.57,1
0.89,0.569,1
0.84,0.427,1
0.58,0.036,0
0.72,0.561,1
0.79,0.748,1
0.77,0.565,0
0.67,0.159,1
0.79,0.391,1
0.8,0.542,1
0.74,0.466,1
0.84,0.336,1
0.86,0.183,1
0.78,0.604,1
0.51,0.291,1
0.55,0.47,0
0.73,0.359,1
0.69,0.318,0
0.76,0.524,1
0.71,0.131,0
0.9,0.407,1
0.8,0.52,1
0.85,0.745,0
0.88,0.419,1
0.8,0.576,1
0.78,0.512,1
0.82,0.24,1
0.88,0.323,1
0.72,0.443,1
0.68,0.789,1
0.75,0.254,0
0.66,0.417,1
0.67,0.114,1
0.2,0.462,0
0.58,0.512,1
0.84,0.564,1
0.6,0.373,0
0.45,0.179,0
0.84,0.286,1
0.71,0.429,1
0.78,0.903,1
0.75,0.231,1
0.73,0.297,0
0.81,0.534,1
0.54,0.403,0
0.65,0.378,1
0.77,0.603,0
0.76,0.356,1
0.59,0.533,0
0.87,0.22,1
0.75,0.252,0
0.33,0.699,0
0.75,0.435,0
0.64,0.437,1
0.63,0.368,0
0.78,0.258,1
0.76,0.409,1
0.81,0.529,1
0.71,0.449,1
0.75,0.391,1
0.65,0.399,0
0.7,0.691,1
0.8,0.455,1
0.6,0.408,0
0.8,0.15,1
0.71,0.466,1
0.83,0.283,1
0.68,0.351,1
0.74,0.516,1
0.82,0.557,1
0.68,0.418,0
0.74,0.58,1
0.67,0.469,0
0.81,0.6,1
0.72,0.505,1
0.76,0.538,1
0.65,0.131,1
0.61,0.15,0
0.78,0.719,1
0.91,0.809,1
0.84,0.342,1
0.67,0.254,0
0.75,0.625,1
0.92,0.401,1
0.79,0.19,1
0.76,0.414,1
0.81,0.274,1
0.75,0.621,1
0.84,0.489,1
0.83,0.475,1
0.83,0.461,1
0.82,0.538,1
0.7,0.283,0
0.53,0.563,1
0.74,0.477,1
0.69,0.519,1
0.72,0.554,1
0.82,0.446,1
0.73,0.335,1
0.52,0.353,0
0.76,0.545,1
0.79,0.386,0
0.9,0.209,1
0.86,0.626,1
0.73,0.441,1
0.85,0.513,1
0.68,0.494,1
0.75,0.483,1
0.67,0.473,0
0.74,0.39,1
0.75,0.384,1
0.8,0.613,1
0.43,0.368,0
0.68,0.358,0
0.67,0.3,0
0.93,0.426,1
0.83,0.405,1
0.66,0.206,1
0.57,0.44,0
0.88,0.529,1
0.8,0.419,1
0.78,0.483,1
0.8,0.407,1
0.61,0.614,0
0.82,0.536,1
0.53,0.453,0
0.8,0.398,1
0.62,0.525,0
0.68,0.519,0
0.84,0.447,0
0.63,0.245,0
0.53,0.653,0
0.91,0.296,1
0.65,0.38,0
0.8,0.381,1
0.78,0.42,1
0.55,0.231,0
0.82,0.281,1
0.69,0.252,1
0.68,0.183,1
0.63,0.439,1
0.66,0.358,0
0.72,0.431,0
0.73,0.459,1
0.68,0.34,1
0.71,0.423,0
0.78,0.38,1
0.78,0.739,1
0.64,0.824,0
0.73,0.578,1
0.84,0.341,1
0.65,0.482,1
0.79,0.688,1
0.75,0.399,0
0.71,0.536,1
0.73,0.53,0
0.82,0.443,1
0.8,0.458,1
0.78,0.313,1
0.63,0.424,0
0.83,0.489,1
0.8,0.404,1
0.7,0.387,1
0.83,0.499,1
0.8,0.524,1
0.72,0.521,1
0.67,0.648,1
0.78,0.633,1
0.74,0.308,0
0.68,0.603,1
0.62,0.473,0
0.78,0.589,1
0.79,0.529,1
0.79,0.329,1
0.75,0.342,0
0.87,0.651,1
0.65,0.296,0
0.84,0.443,1
0.59,0.415,1
0.77,0.527,1
0.77,0.602,1
0.77,0.548,1
0.6,0.574,1
0.69,0.381,0
0.76,0.274,0
0.73,0.324,1
0.79,0.486,1
0.71,0.433,1
0.82,0.343,1
0.83,0.738,1
0.93,0.711,1
0.75,0.35,1
0.54,0.482,0
0.75,0.405,1
0.69,0.487,1
0.62,0.365,1
0.65,0.262,0
0.7,0.49,1
0.81,0.511,1
0.69,0.309,0
0.87,0.575,1
0.76,0.44,1
0.76,0.426,1
0.59,0.466,0
0.81,0.377,1
0.82,0.488,1
0.74,0.369,1
0.65,0.315,1
0.62,0.458,1
0.69,0.523,1
0.77,0.422,1
0.68,0.41,0
0.58,0.434,0
0.78,0.3,1
0.82,0.462,0
0.75,0.388,0
0.85,0.429,1
0.78,0.414,1
0.71,0.451,1
0.87,0.379,1
0.7,0.155,1
0.8,0.552,1
0.88,0.492,1
0.8,0.534,1
0.64,0.553,0
0.73,0.592,1
0.73,0.569,1
0.51,0.563,0
0.7,0.493,1
0.74,0.616,1
0.74,0.501,0
0.8,0.612,1
0.81,0.535,1
0.67,0.458,1
0.86,0.747,1
0.8,0.7,1
0.84,0.729,1
0.73,0.408,1
0.68,0.196,1
0.63,0.632,0
0.76,0.514,0
0.68,0.429,0
0.53,0.399,0
0.79,0.35,1
0.91,0.51,1
0.84,0.398,1
0.7,0.266,0
0.59,0.073,1
0.73,0.726,0
0.7,0.864,1
0.84,0.547,1
0.54,0.49,1
0.77,0.415,0
0.86,0.4,1
0.51,0.193,0
0.74,0.193,0
0.8,0.193,1
0.8,0.586,1
0.65,0.607,1
0.74,0.541,1
0.69,0.457,0
0.77,0.598,0
0.79,0.418,1
0.9,0.509,1
0.63,0.467,0
0.39,0.025,0
0.82,0.44,1
0.61,0.412,0
0.7,0.327,1
0.75,0.306,1
0.64,0.398,1
0.61,0.647,0
0.73,0.694,1
0.63,0.175,0
0.57,0.095,0
0.86,0.637,1
0.71,0.573,1
0.72,0.475,1
0.86,0.593,1
0.74,0.384,1
0.88,0.468,1
0.73,0.146,0
0.54,0.196,0
0.79,0.361,1
0.83,0.791,1
0.87,0.405,1
0.97,0.555,1
0.77,0.426,0
0.67,0.471,1
0.73,0.24,1
0.8,0.722,1
0.74,0.373,1
0.78,0.501,1
0.7,0.562,1
0.74,0.483,1
0.7,0.377,0
0.72,0.484,1
0.68,0.603,1
0.73,0.319,1
0.7,0.473,1
0.81,0.68,1
0.75,0.425,1
0.83,0.883,1
0.58,0.493,1
0.65,0.6,1
0.57,0.359,1
0.55,0.073,0
0.54,0.297,0
0.7,0.406,1
0.89,0.362,1
0.71,0.482,0
0.83,0.711,1
0.91,0.498,1
0.76,0.108,0
0.78,0.644,1
0.82,0.461,1
0.66,0.454,0
0.68,0.538,1
0.69,0.013,0
0.62,0.395,1
0.89,0.297,1
0.74,0.485,1
0.79,0.481,1
0.86,0.994,1
0.78,0.429,1
0.74,0.447,0
0.72,0.457,0
0.73,0.364,1
0.75,0.591,1
0.81,0.312,1
0.88,0.502,1
0.73,0.492,1
0.84,0.75,1
0.72,0.325,0
0.8,0.319,1
0.79,0.073,1
0.85,0.302,1
0.67,0.247,0
0.73,0.653,1
0.84,0.418,1
0.86,0.746,1
0.65,0.342,0
0.89,0.562,1
0.76,0.441,0
0.71,0.159,1
0.75,0.345,1
0.59,0.44,0
0.7,0.52,1
0.69,0.348,1
0.75,0.363,1
0.76,0.452,1
0.76,0.055,1
0.55,0.587,0
0.83,0.645,1
0.91,0.476,1
0.84,0.136,1
0.71,0.013,0
0.8,0.455,0
0.79,0.312,1
0.8,0.452,1
0.77,0.357,1
0.7,0.625,1
0.66,0.465,1
0.7,0.486,1
0.8,0.535,1
0.72,0.609,0
0.68,0.565,1
0.81,0.535,1
0.81,0.481,1
0.69,0.476,1
0.74,0.353,1
0.63,0.432,0
0.72,0.24,1
0.85,0.527,1
0.64,0.38,0
0.67,0.101,0
0.54,0.203,1
0.85,0.5,1
0.89,0.719,1
0.66,0.025,0
0.73,0.254,1
0.67,0.537,1
0.74,0.193,1
0.66,0.446,1
0.44,0.37,0
0.87,0.444,1
0.52,0.406,1
0.83,0.912,1
0.7,0.517,0
0.76,0.322,1
0.71,0.456,0
0.74,0.632,1
0.71,0.389,1
0.66,0.283,0
0.62,0.366,1
0.78,0.401,1
0.73,0.546,1
0.72,0.313,1
0.73,0.629,1
0.43,0.352,0
0.8,0.465,1
0.87,0.621,1
0.73,0.387,0
0.74,0.466,1
0.61,0.44,1
0.68,0.431,0
0.83,0.383,1
0.76,0.49,0
0.83,0.42,1
0.68,0.773,0
0.67,0.336,1
0.83,0.539,1
0.7,0.073,0
0.69,0.315,0
0.62,0.375,1
0.84,0.724,1
0.76,0.676,1
0.68,0.399,0
0.71,0.351,1
0.81,0.738,1
0.72,0.511,1
0.71,0.683,0
0.68,0.046,0
0.73,0.013,0
0.58,0.67,0
0.86,0.68,1
0.65,0.591,1
0.79,0.528,1
0.57,0.264,1
0.77,0.583,1
0.81,0.637,1
0.73,0.41,1
0.79,0.426,1
0.75,0.367,1
0.82,0.351,1
0.74,0.353,0
0.91,0.432,1
0.7,0.468,1
0.83,0.254,1
0.76,0.695,1
0.56,0.08,0
0.88,0.697,1
0.81,0.343,1
0.74,0.564,0
0.68,0.299,0
0.67,0.429,1
0.71,0.368,1
0.79,0.444,1
0.71,0.359,1
0.65,0.108,1
0.78,0.315,1
0.7,0.231,0
0.77,0.641,1
0.65,0.459,0
0.64,0.416,0
0.71,0.569,1
0.79,0.264,1
0.75,0.472,1
0.88,0.615,1
0.96,0.348,1
0.7,0.479,0
0.78,0.491,1
0.53,0.412,0
0.73,0.415,1
0.8,0.525,0
0.68,0.405,1
0.81,0.5,1
0.86,0.55,1
0.7,0.296,1
0.89,0.524,1
0.71,0.414,0
0.62,0.334,1
0.77,0.383,1
0.78,0.504,1
0.78,0.428,1
0.75,0.534,1
0.83,0.49,1
0.71,0.073,0
0.77,0.41,1
0.78,0.439,1
0.83,0.504,1
0.72,0.619,1
0.75,0.318,1
0.7,0.34,1
0.78,0.366,1
0.86,0.69,1
0.7,0.527,0
0.86,0.7,1
0.79,0.515,1
0.63,0.675,1
0.68,0.264,1
0.46,0.159,0
0.8,0.605,1
0.82,0.404,1
0.82,0.228,0
0.74,0.341,1
0.83,0.064,0
0.81,0.537,1
0.76,0.504,1
0.47,0.357,1
0.76,0.395,1
0.71,0.223,0
0.74,0.368,1
0.86,0.418,1
0.71,0.332,0
0.87,0.549,1
0.69,0.695,1
0.72,0.573,1
0.72,0.58,1
0.71,0.305,1
0.86,0.369,1
0.46,0.499,0
0.86,0.495,1
0.81,0.382,1
0.74,0.645,1
0.69,0.146,0
0.75,0.547,1
0.82,0.586,1
0.7,0.714,0
0.77,0.637,0
0.75,0.533,1
0.86,0.505,1
0.65,0.412,0
0.86,0.668,1
0.85,0.529,1
0.68,0.598,1
0.68,0.448,1
0.73,0.514,1
0.8,0.612,1
0.71,0.392,1
0.71,0.507,1
0.72,0.508,1
0.74,0.433,1
0.55,0.432,0
0.57,0.175,1
0.78,0.607,1
0.92,0.101,1
0.81,0.382,1
0.6,0.636,1
0.77,0.431,1
0.74,0.408,1
0.8,0.469,1
0.82,0.286,1
0.72,0.352,1
0.66,0.466,0
0.76,0.453,1
0.73,0.509,1
0.91,0.418,1
0.87,0.714,0
0.61,0.483,0
0.8,0.37,1
0.7,0.403,0
0.75,0.462,0
0.75,0.426,1
0.84,0.369,1
0.66,0.315,1
0.56,0.396,0
0.84,0.488,1
0.76,0.485,1
0.84,0.451,1
0.72,0.371,1
0.82,0.367,1
0.54,0.443,0
0.7,0.5,1
0.81,0.605,1
0.79,0.433,1
0.84,0.42,1
0.54,0.101,0
0.59,0.465,0
0.7,0.573,1
0.8,0.785,1
0.45,0.225,0
0.78,0.363,1
0.74,0.485,1
0.7,0.641,1
0.81,0.579,1
0.67,0.481,1
0.81,0.297,1
0.73,0.452,0
0.85,0.33,1
0.56,0.431,0
0.8,0.478,1
0.65,0.371,1
0.82,0.252,0
0.7,0.583,0
0.77,0.439,1
0.86,0.39,1
0.58,0.545,1
0.8,0.621,1
0.6,0.35,1
0.84,0.348,1
0.73,0.637,1
0.8,0.545,1
0.82,0.453,1
0.75,0.392,0
0.83,0.398,1
0.66,0.479,0
0.61,0.588,1
0.61,0.407,1
0.82,0.299,1
0.7,0.383,1
0.72,0.461,1
0.64,0.225,0
0.8,0.818,1
0.83,0.55,1
0.74,0.505,1
0.76,0.527,1
0.63,0.39,0
0.8,0.412,1
0.79,0.401,1
0.86,0.48,1
0.74,0.08,0
0.71,0.639,1
0.77,0.435,1
0.81,0.725,1
0.7,0.487,0
0.73,0.751,1
0.84,0.294,1
0.8,0.403,1
0.88,0.368,1
0.82,0.674,1
0.64,0.383,0
0.72,0.512,1
0.76,0.448,1
0.46,0.136,1
0.55,0.498,0
0.79,0.196,1
0.9,0.744,1
0.56,0.377,0
0.82,0.584,1
0.75,0.405,1
0.68,0.299,0
0.76,0.425,1
0.8,0.545,1
0.59,0.512,0
0.68,0.399,1
0.77,0.356,0
0.78,0.402,1
0.86,0.544,1
0.64,0.179,1
0.8,0.375,1
0.75,0.405,1
0.75,0.574,1
0.8,0.245,1
0.68,0.526,1
0.81,0.443,1
0.7,0.577,1
0.62,0.391,1
0.76,0.447,1
0.72,0.391,1
0.71,0.503,1
0.48,0.336,0
0.72,0.509,0
0.83,0.523,1
0.62,0.387,0
0.65,0.206,0
0.58,0.558,0
0.83,0.462,0
0.83,0.435,1
0.6,0.434,1
0.93,0.62,1
0.8,0.609,1
0.71,0.541,1
0.84,0.459,1
0.7,0.313,1
0.71,0.441,1
0.73,0.393,0
0.58,0.291,0
0.68,0.352,1
0.83,0.256,1
0.79,0.167,1
0.86,0.505,1
0.87,0.427,1
0.69,0.567,1
0.76,0.141,0
0.68,0.421,0
0.8,0.281,1
0.8,0.375,1
0.73,0.524,1
0.55,0.505,0
0.57,0.299,0
0.71,0.627,0
0.63,0.684,0
0.87,0.553,1
0.8,0.667,1
0.82,0.775,1
0.7,0.34,1
0.9,0.555,1
0.72,0.523,1
0.81,0.435,1
0.66,0.266,0
0.82,0.565,1
0.75,0.636,1
0.72,0.408,0
0.68,0.481,1
0.41,0.252,0
0.58,0.163,0
0.74,0.088,0
0.59,0.389,0
0.67,0.757,0
0.91,0.481,1
0.72,0.247,1
0.75,0.266,1
0.78,0.167,1
0.82,0.446,1
0.71,0.362,1
0.75,0.394,1
0.69,0.12,1
0.84,0.628,1
0.74,0.387,1
0.76,0.512,1
0.62,0.34,0
0.68,0.352,1
0.73,0.457,1
0.83,0.363,1
0.66,0.407,1
0.8,0.335,1
0.81,0.356,1
0.43,0.375,1
0.6,0.395,0
0.61,0.131,0
0.9,0.383,1
0.79,0.385,1
0.73,0.44,1
0.76,0.12,1
0.52,0.325,0
0.84,0.046,1
0.84,0.312,1
0.75,0.468,1
0.82,0.381,1
0.72,0.605,1
0.83,0.544,1
0.77,0.357,1
0.73,0.322,1
0.75,0.46,1
0.94,0.167,1
0.77,0.276,1
0.54,0.33,0
0.71,0.837,1
0.71,0.453,0
0.69,0.545,1
0.89,0.468,1
0.72,0.443,1
0.59,0.576,0
0.69,0.397,1
0.81,0.291,1
0.72,0.451,1
0.75,0.412,1
0.68,0.342,0
0.65,0.294,0
0.83,0.408,0
0.8,0.44,1
0.8,0.41,1
0.62,0.384,0
0.77,0.46,1
0.76,0.576,1
0.69,0.389,0
0.82,0.488,1
0.55,0.372,0
0.76,0.34,0
0.71,0.15,0
0.67,0.42,1
0.59,0.473,0
0.66,0.446,0
0.84,0.52,1
0.84,0.114,1
0.66,0.465,1
0.61,0.432,0
0.86,0.757,1
0.74,0.322,1
0.55,0.299,0
0.84,0.458,1
0.81,0.141,1
0.85,0.622,1
0.8,0.652,1
0.82,0.508,1
0.6,0.465,0
0.82,0.416,1
0.56,0.238,0
0.81,0.131,1
0.82,0.561,1
0.83,0.365,1
0.62,0.398,1
0.76,0.489,0
0.75,0.437,1
0.81,0.384,1
0.76,0.449,1
0.65,0.472,0
0.81,0.522,1
0.64,0.309,1
0.92,0.312,1
0.67,0.183,0
0.82,0.589,0
0.72,0.352,0
0.72,0.196,0
0.83,0.605,0
0.63,0.488,0
0.82,0.335,0
0.72,0.568,1
0.65,0.508,0
0.71,0.537,0
0.87,0.299,0
0.76,0.641,1
0.81,0.532,1
0.73,0.55,1
0.78,0.62,1
0.53,0.385,0
0.7,0.426,0
0.73,0.54,1
0.77,0.353,0
0.68,0.434,1
