Metacritic_score,Median_playtime,Price,Positive_review_threshold
0.73,0.491,0.136,0
0.84,0.37,0.424,0
0.87,0.551,0.856,1
0.72,0.499,0.208,1
0.68,0.413,0.424,0
0.74,0.485,0.28,0
0.77,0.531,0.28,0
0.77,0.479,0.28,0
0.53,0.517,0.079,1
0.78,0.336,0.064,1
0.7,0.215,0.136,0
0.76,0.477,0.424,1
0.86,0.481,0.28,1
0.76,0.416,0.136,1
0.73,0.696,0.352,0
0.83,0.344,0.136,0
0.68,0.493,0.136,0
0.81,0.484,0.424,1
0.65,0.176,0.136,1
0.63,0.488,0.28,0
0.66,0.505,0.054,0
0.64,0.12,0.036,0
0.65,0.346,0.136,1
0.77,0.529,0.208,1
0.78,0.433,0.208,1
0.9,0.42,0.136,1
0.83,0.505,0.424,1
0.68,0.441,0.424,0
0.82,0.417,0.122,1
0.79,0.187,0.136,1
0.72,0.309,0.28,0
0.82,0.623,0.496,1
0.88,0.493,0.064,1
0.79,0.378,0.28,1
0.77,0.432,0.424,0
0.66,0.421,0.208,0
0.74,0.206,0.093,1
0.83,0.355,0.208,1
0.73,0.411,0.136,0
0.82,0.574,0.28,1
0.8,0.535,0.28,1
0.69,0.036,0.28,1
0.79,0.395,0.28,1
0.8,0.74,0.856,1
0.71,0.64,0.424,1
0.67,0.463,0.136,1
0.75,0.49,0.151,1
0.81,0.617,0.28,0
0.56,0.665,0.568,1
0.57,0.013,0.108,0
0.87,0.361,0.208,1
0.83,0.366,0.424,1
0.74,0.496,0.136,1
0.69,0.489,0.28,1
0.63,0.036,0.208,0
0.82,0.203,0.208,0
0.87,0.55,0.208,1
0.9,0.511,0.424,1
0.58,0.558,0.05,0
0.87,0.407,0.108,1
0.73,0.524,0.496,0
0.69,0.388,0.208,0
0.81,0.566,0.208,1
0.75,0.393,0.424,1
0.8,0.503,0.28,0
0.85,0.538,0.208,1
0.83,0.727,0.28,1
0.56,0.239,0.136,0
0.69,0.383,0.28,0
0.82,0.558,0.28,1
0.84,0.287,0.021,1
0.78,0.624,0.28,1
0.77,0.437,0.064,0
0.73,0.146,0.064,0
0.74,0.515,0.208,0
0.75,0.168,0.136,1
0.78,0.524,0.079,0
0.78,0.344,0.28,1
0.75,0.307,0.136,0
0.8,0.382,0.28,1
0.88,0.413,0.352,0
0.53,0.343,0.136,0
0.87,0.418,0.424,1
0.82,0.344,0.093,0
0.82,0.417,0.108,1
0.76,0.486,0.28,0
0.71,0.444,0.064,0
0.85,0.221,0.136,1
0.73,0.631,0.122,0
0.77,0.482,0.208,1
0.88,0.324,0.136,1
0.73,0.619,0.496,1
0.76,0.329,0.064,0
0.75,0.389,0.136,0
0.73,0.292,0.093,1
0.81,0.559,0.208,0
0.44,0.371,0.28,0
0.59,0.401,0.064,0
0.61,0.413,0.568,0
0.75,0.436,0.208,1
0.81,0.467,0.856,0
0.88,0.622,0.424,1
0.74,0.273,0.28,0
0.68,0.352,0.064,1
0.69,0.458,0.28,0
0.83,0.327,0.28,1
0.86,0.595,0.28,1
0.8,0.408,0.136,1
0.83,0.466,0.352,1
0.74,0.467,0.208,1
0.89,0.832,0.424,0
0.74,0.467,0.208,1
0.8,0.248,0.122,0
0.74,0.395,0.05,0
0.73,0.391,0.424,0
0.61,0.415,0.136,0
0.81,0.362,0.136,0
0.7,0.197,0.064,1
0.76,0.736,0.568,0
